DATE,XTNTVA01INM667S
1994-04-01,-161995424.891148
1994-05-01,-21415641.017826602
1994-06-01,-13673311.340857
1994-07-01,-188570456.575331
1994-08-01,-207084887.364527
1994-09-01,-232455562.50286302
1994-10-01,-412847675.58048505
1994-11-01,-162244736.26112902
1994-12-01,-219395547.623624
1995-01-01,-197268413.018352
1995-02-01,-275257701.444085
1995-03-01,-291227389.803044
1995-04-01,-103209498.029127
1995-05-01,-482903634.059565
1995-06-01,-353358905.879058
1995-07-01,-465987279.191062
1995-08-01,-454074623.82515
1995-09-01,-606914135.9788281
1995-10-01,-356422894.90830797
1995-11-01,-336765248.793703
1995-12-01,-96129117.45454219
1996-01-01,-918236423.512341
1996-02-01,-281385359.033619
1996-03-01,-377266387.261167
1996-04-01,-393454797.431639
1996-05-01,-333933915.436606
1996-06-01,-140896820.11687
1996-07-01,-163778851.91010898
1996-08-01,-382733880.934414
1996-09-01,-250804710.30676597
1996-10-01,-553941164.740411
1996-11-01,-780403702.475518
1996-12-01,-390076112.700902
1997-01-01,-987114282.077742
1997-02-01,-849779513.912225
1997-03-01,-441137522.518861
1997-04-01,-702385746.826064
1997-05-01,-223903079.608685
1997-06-01,-517275380.66177404
1997-07-01,-389902840.307244
1997-08-01,-300261904.956236
1997-09-01,-184443367.499973
1997-10-01,-555472214.8212171
1997-11-01,-513247157.999574
1997-12-01,-761701160.9073911
1998-01-01,-694996872.600598
1998-02-01,-802855634.412605
1998-03-01,-772273123.1506699
1998-04-01,-931532995.6870551
1998-05-01,-1020306861.62085
1998-06-01,-775992929.0976831
1998-07-01,-932427026.394767
1998-08-01,-525337728.02537304
1998-09-01,-963435523.0895511
1998-10-01,-880483809.3449299
1998-11-01,-565709198.745302
1998-12-01,-622203500.438202
1999-01-01,-737544344.525316
1999-02-01,-525418613.11833704
1999-03-01,-679187357.839013
1999-04-01,-663384231.6748791
1999-05-01,-793242568.807936
1999-06-01,-971407687.6833661
1999-07-01,-906639035.614316
1999-08-01,-1133231575.5019898
1999-09-01,-1303924487.7418602
1999-10-01,-1045107472.5738301
1999-11-01,-1137307654.37413
1999-12-01,-1386996769.0827801
2000-01-01,-1190461422.9003
2000-02-01,-1161210768.31983
2000-03-01,-1143566423.53865
2000-04-01,-1137981451.3519099
2000-05-01,-544882788.003849
2000-06-01,-643215511.506899
2000-07-01,-816001752.798272
2000-08-01,-329971897.675658
2000-09-01,-431499294.81446296
2000-10-01,-599183857.4593999
2000-11-01,-855864963.951828
2000-12-01,-202430067.01379198
2001-01-01,-422724372.059104
2001-02-01,-15579279.300278699
2001-03-01,-585947436.293226
2001-04-01,-993192364.7331799
2001-05-01,-671484650.63445
2001-06-01,-542272133.1621029
2001-07-01,-1365298910.75018
2001-08-01,-694998067.992468
2001-09-01,-160195599.56333402
2001-10-01,-403735747.866846
2001-11-01,-423549149.72364
2001-12-01,-779786596.848629
2002-01-01,-21193470.2457914
2002-02-01,-559936746.161357
2002-03-01,-537841595.696416
2002-04-01,-227465693.12131602
2002-05-01,-658473805.173725
2002-06-01,-309754073.20017403
2002-07-01,-174496330.177387
2002-08-01,-334024882.28594303
2002-09-01,-591537137.5531629
2002-10-01,-716394135.935264
2002-11-01,-937971726.032687
2002-12-01,-941388157.9588001
2003-01-01,-778702555.53538
2003-02-01,-800298646.0213441
2003-03-01,-1159997623.17677
2003-04-01,-1352676352.20965
2003-05-01,-1006118036.82604
2003-06-01,-1424845703.34653
2003-07-01,-924359226.8374
2003-08-01,-1224479485.39845
2003-09-01,-868291038.231355
2003-10-01,-1170408790.6001801
2003-11-01,-1375283587.25267
2003-12-01,-1342760333.5799801
2004-01-01,-1855732517.09456
2004-02-01,-1220697437.4520102
2004-03-01,-1016719016.7874
2004-04-01,-1185044359.76216
2004-05-01,-1481337845.46137
2004-06-01,-2666695177.7502003
2004-07-01,-1932901010.93673
2004-08-01,-2108480221.63764
2004-09-01,-2023518064.5506098
2004-10-01,-2236318562.35889
2004-11-01,-2290785195.06672
2004-12-01,-3051206162.98525
2005-01-01,-3105923717.2617702
2005-02-01,-3537989395.14903
2005-03-01,-3105452756.42914
2005-04-01,-3650124963.13312
2005-05-01,-4272035417.10198
2005-06-01,-3638208720.2372203
2005-07-01,-3801136152.99126
2005-08-01,-4121573703.72301
2005-09-01,-3810107954.43184
2005-10-01,-2868990644.6473002
2005-11-01,-4005197210.1925797
2005-12-01,-3508107700.92223
2006-01-01,-4005326184.05418
2006-02-01,-3926732758.5397396
2006-03-01,-4071839155.5814495
2006-04-01,-3938665771.22119
2006-05-01,-3827223758.85675
2006-06-01,-3850221474.52431
2006-07-01,-4010497974.89396
2006-08-01,-4069143059.24997
2006-09-01,-5993022742.27662
2006-10-01,-6957587674.545919
2006-11-01,-6289258410.541281
2006-12-01,-5411103374.829081
2007-01-01,-3664337614.93817
2007-02-01,-5771611667.09044
2007-03-01,-6259724113.47414
2007-04-01,-6555530698.56128
2007-05-01,-6646915951.0727
2007-06-01,-8095116997.56004
2007-07-01,-8073587704.07882
2007-08-01,-7085039592.385361
2007-09-01,-4861626941.57989
2007-10-01,-6068267918.0973
2007-11-01,-9768670298.26755
2007-12-01,-6314958755.786779
2008-01-01,-7535042014.53831
2008-02-01,-8074434332.133389
2008-03-01,-9306094528.75
2008-04-01,-10721133608.7157
2008-05-01,-8583429201.82287
2008-06-01,-9610999767.326109
2008-07-01,-10979713655.539501
2008-08-01,-15552447775.0273
2008-09-01,-15222828586.4065
2008-10-01,-9747889862.66831
2008-11-01,-13304904048.9276
2008-12-01,-6767522640.52246
2009-01-01,-5208120393.4166
2009-02-01,-4607794328.07748
2009-03-01,-5903610266.9217005
2009-04-01,-5670404335.31507
2009-05-01,-6417177787.39565
2009-06-01,-9873179039.67243
2009-07-01,-6303679564.38962
2009-08-01,-8747144806.617851
2009-09-01,-6760284425.14263
2009-10-01,-9574962353.05114
2009-11-01,-10937924653.9434
2009-12-01,-11854869601.2515
2010-01-01,-9362059763.211681
2010-02-01,-12614491551.312
2010-03-01,-12703886647.1212
2010-04-01,-12227572150.4417
2010-05-01,-10770105179.6837
2010-06-01,-8234177818.523041
2010-07-01,-11828456267.768599
2010-08-01,-9084932353.21095
2010-09-01,-10483427266.2918
2010-10-01,-11633252492.383701
2010-11-01,-7271440564.6447
2010-12-01,-8049719738.110391
2011-01-01,-10136304649.7095
2011-02-01,-11651909270.2806
2011-03-01,-7366142468.21237
2011-04-01,-12450294380.289
2011-05-01,-16545950878.961601
2011-06-01,-14360199935.6166
2011-07-01,-13595100443.3151
2011-08-01,-14957516059.433899
2011-09-01,-14380319340.480999
2011-10-01,-15527049087.4502
2011-11-01,-16214862928.056402
2011-12-01,-15038930072.5449
2012-01-01,-17218390577.957798
2012-02-01,-15857227115.2882
2012-03-01,-16573620349.771599
2012-04-01,-13558259768.7691
2012-05-01,-14758536266.0027
2012-06-01,-12727105980.1861
2012-07-01,-16625599775.7681
2012-08-01,-13176360450.0407
2012-09-01,-18756199909.5771
2012-10-01,-18196498383.6345
2012-11-01,-17087489394.857399
2012-12-01,-17963541206.5812
2013-01-01,-17905009459.1149
2013-02-01,-16191875470.6766
2013-03-01,-12435930976.1667
2013-04-01,-17720002794.053802
2013-05-01,-16898862416.2108
2013-06-01,-11953049999.969
2013-07-01,-11339876655.882801
2013-08-01,-10543098048.1697
2013-09-01,-7489933126.4334
2013-10-01,-8406922957.375039
2013-11-01,-9370802239.40098
2013-12-01,-10291743803.6651
2014-01-01,-9186209270.83302
2014-02-01,-10099420164.0422
2014-03-01,-12539349628.2435
2014-04-01,-9731693001.18278
2014-05-01,-10360441319.8254
2014-06-01,-12768632200.3549
2014-07-01,-12342919223.6549
2014-08-01,-10398504132.3645
2014-09-01,-16418342137.208
2014-10-01,-11783679902.498999
2014-11-01,-15153406566.096899
2014-12-01,-8983380095.95834
2015-01-01,-8599493830.0989
2015-02-01,-8469333617.08459
2015-03-01,-12119232748.7605
2015-04-01,-10997325900.3705
2015-05-01,-10090295837.7741
2015-06-01,-11499287209.3021
2015-07-01,-11396944250.3605
2015-08-01,-12514159484.5947
2015-09-01,-10610962215.1966
2015-10-01,-9071938765.704971
2015-11-01,-9379965337.043419
2015-12-01,-10538375760.483398
2016-01-01,-8423097241.763591
2016-02-01,-8563768851.0968
2016-03-01,-4697605577.73552
2016-04-01,-5508679137.92122
2016-05-01,-6001785841.76758
2016-06-01,-6759212847.64485
2016-07-01,-6881252683.27111
2016-08-01,-7619030322.02284
2016-09-01,-9499067112.542059
2016-10-01,-10904736769.7415
2016-11-01,-12101847226.733099
2016-12-01,-10226324589.7846
2017-01-01,-10664087896.8696
2017-02-01,-12597879469.985199
2017-03-01,-11425211679.7274
2017-04-01,-14689957881.6628
2017-05-01,-14282054520.928099
2017-06-01,-12694069514.5768
2017-07-01,-11375126000.0647
2017-08-01,-11807475777.0944
2017-09-01,-10632554351.0668
2017-10-01,-14544090793.8079
2017-11-01,-12668958855.772299
2017-12-01,-13860944438.0834
2018-01-01,-15675120686.6017
2018-02-01,-15027324765.9304
2018-03-01,-15239692183.0441
2018-04-01,-14275663212.4474
2018-05-01,-13692094151.676401
2018-06-01,-16872577355.3168
2018-07-01,-18177080299.704597
2018-08-01,-16606767035.9051
2018-09-01,-15863202339.2832
2018-10-01,-17823964083.2976
2018-11-01,-16082550867.3066
2018-12-01,-14201304724.2541
